"Date","Discount","ZeroRate"
"19-Feb-2008","1",""
"20-Feb-2008","0.99988862351721","0.040654680246617"
"26-Feb-2008","0.99920923691223","0.041248957946267"
"19-Mar-2008","0.99666408226133","0.042056738826327"
"19-Jun-2008","0.98578728867976","0.043180643913046"
"18-Sep-2008","0.97609835965871","0.041651181827442"
"17-Dec-2008","0.96733031777843","0.040144261040463"
"17-Mar-2009","0.95900495600412","0.038975888321323"
"18-Jun-2009","0.95066059253523","0.03807903927522"
"17-Sep-2009","0.94249814180901","0.037527406066544"
"16-Dec-2009","0.93430235484953","0.037242699777003"
"19-Feb-2010","0.92689669282031","0.037904656866135"
"21-Feb-2011","0.89161515429886","0.038135745461825"
"20-Feb-2012","0.85599116035767","0.038820628451586"
"19-Feb-2013","0.81988710225046","0.039674247050095"
"19-Feb-2014","0.78375394784974","0.040572972043968"
"19-Feb-2015","0.74780267917428","0.041484117638594"
"19-Feb-2016","0.71237065833456","0.042365596902913"
"20-Feb-2017","0.67773383736259","0.043169727275293"
"19-Feb-2018","0.64430058849675","0.043922889939432"
"19-Feb-2019","0.6120673692813","0.0445951260655"
"19-Feb-2020","0.5810755711189","0.045208573541606"
"19-Feb-2021","0.55191019683432","0.045682254260798"
"21-Feb-2022","0.52391141470545","0.046119609592117"
"20-Feb-2023","0.49760873824225","0.046486957952797"
"19-Feb-2024","0.47273463334805","0.046794266431847"
"19-Feb-2025","0.44918131930778","0.047040250386593"
"19-Feb-2026","0.42697970356462","0.047242868718533"
"19-Feb-2027","0.40605793730177","0.047400531815479"
"21-Feb-2028","0.38623713909868","0.047519620648296"
"19-Feb-2029","0.3677489145488","0.04759868699695"
"19-Feb-2030","0.35023094094834","0.047653598363102"
"19-Feb-2031","0.33373011199559","0.04767995132816"
"19-Feb-2032","0.31819035211827","0.047680070905503"
"21-Feb-2033","0.30347642179616","0.047651056064417"
"20-Feb-2034","0.28972542432511","0.047606853050339"
"19-Feb-2035","0.27675805528812","0.047544436665582"
"19-Feb-2036","0.26448650679514","0.047466240411862"
"19-Feb-2037","0.25289252529776","0.047370773040832"
"19-Feb-2038","0.24191793942993","0.047270687790864"
"21-Feb-2039","0.23145744398718","0.047163454844373"
"20-Feb-2040","0.22161506892781","0.047051660872027"
"19-Feb-2041","0.21227586425718","0.046930648776426"
"19-Feb-2042","0.20338356187242","0.046809041759893"
"19-Feb-2043","0.1949380179717","0.046683500785186"
"19-Feb-2044","0.1869120286766","0.046554702320401"
"20-Feb-2045","0.1792613388515","0.046419232663057"
"19-Feb-2046","0.17201678433129","0.04628671301275"
"19-Feb-2047","0.16509552274058","0.046152989267553"
"19-Feb-2048","0.15849427947394","0.046019399312564"
"19-Feb-2049","0.15219410004586","0.045883312537228"
"21-Feb-2050","0.14614374543855","0.045750835762214"
"20-Feb-2051","0.14041384985233","0.045620030464319"
"19-Feb-2052","0.13494250620716","0.045489444464513"
"19-Feb-2053","0.12970696885418","0.045355251710575"
"19-Feb-2054","0.12470745253853","0.045223866354265"
"19-Feb-2055","0.11993631955185","0.045091742111126"
"21-Feb-2056","0.11535994064054","0.044957785662226"
"19-Feb-2057","0.11104421280116","0.044821030163137"
"19-Feb-2058","0.10690353413137","0.044684737802514"
